,f_MUNICIPIO_COD,f_MUNICIPIO,ANO,MES,ANOMES,REGIAO,HOMOCIDIO_DOLOSO,LESAO_CORPORAL_MORTE,LATROCINIO,CVLI,HOMOCIDIO_POR_INTERVENCAO_POLICIAL,LETALIDADE_VIOLENTA,TENTATIVA_HOMICIDIO,ESTUPRO,HOMICIDIO_CULPOSP,LESAO_CORPORAL_DOLOSA,LESAO_CORPORAL_CULPOSA,ROUBO_TRANSEUNTE,ROUBO_CELULAR,ROUBO_EM_COLETIVO,ROUBO_EM_RUA,ROUBO_VEICULO,ROUBO_DE_CARGA,ROUBO_COMERCIO,ROUBO_RESIDENCIAL,ROUBO_BANCO,ROUBO_CAIXA_ELETRONICO,ROUBO_CONSUCAO_SAQUE,ROUBO_APOS_SAQUE,ROUBO_BICICLETA,OUTROS_ROUBOS,TOTAL_ROUBOS,FURTO_VEICULOS,FURTO_TRANSEUNTE,FURTO_EM_COLETIVO,FURTO_CELULAR,FURTO_BICILETA,OUTROS_FURTOS,TOTAL_FURTOS,SEQUESTRO,EXTORSAO,SEQUESTRO_RELAMPAGO,ESTELIONATO,APREENSAO_DROGAS,POSSE_DROGAS,TRAFICO_DROGAS,APREENSAO_DROGAS_SEM_AUTOR,RECUPERACAO_VEICULOS,APF,AAAPAI,CMP,CMBA,AMEACA,PESSOAS_DESAPARECIDAS,ENCONTRO_CADAVER,ENCONTRO_OSSADA,POLICIAL_MILITAR_MORTO_SERVICO,POLICIAL_CIVIL_MORTO_SERVICO,REGISTRO_OCORRENCIAS,FASE
47,3303302,NITERÓI,2014,1,201401,GRANDE NITERÓI,7,0,0,7,3,10,15,228,13,7,174,300,10,40,350,140,1,32,8,0,0,0,0,0,42,572,104,152,35,51,0,412,755,0,16,2,169,50,13,29,8,104,109,38,60,0,233,16,4,1,0,0,2827,3
48,3303401,NOVA FRIBURGO,2014,1,201401,INTERIOR,3,0,0,3,0,3,3,104,8,6,65,16,4,0,20,0,0,6,1,0,0,0,0,0,9,35,19,4,2,5,0,100,131,0,1,0,16,29,7,20,2,15,42,12,11,0,116,2,0,0,0,0,685,3
49,3303500,NOVA IGUAÇU,2014,1,201401,BAIXADA FLUMINENSE,51,0,2,53,1,54,24,467,41,6,143,446,32,36,514,259,24,42,8,0,1,0,8,0,30,884,46,88,20,38,0,274,468,0,5,1,106,41,4,35,2,81,100,41,39,0,469,36,3,0,0,0,3237,3
50,3303609,PARACAMBI,2014,1,201401,BAIXADA FLUMINENSE,0,0,0,0,0,0,0,25,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,1,0,2,0,10,13,0,0,0,5,14,0,13,1,3,17,4,2,0,34,0,0,0,0,0,121,3
51,3303708,PARAÍBA DO SUL,2014,1,201401,INTERIOR,1,0,0,1,0,1,0,25,2,0,13,0,0,0,0,2,1,0,0,0,0,0,0,0,1,4,6,0,0,2,0,13,21,0,0,0,0,7,6,1,0,2,4,0,3,0,15,0,1,0,0,0,115,3
52,3303807,PARATY,2014,1,201401,INTERIOR,1,0,0,1,0,1,4,26,5,2,17,3,0,0,3,1,0,2,0,0,0,0,0,0,7,7,4,4,0,3,0,50,67,0,0,0,10,19,14,5,0,1,12,3,5,0,31,0,0,0,0,0,265,3
53,3303856,PATY DO ALFERES,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
54,3303906,PETRÓPOLIS,2014,1,201401,INTERIOR,0,0,0,0,0,0,3,130,6,2,28,2,0,1,3,0,1,1,1,0,0,0,0,0,3,9,23,27,9,16,0,97,172,0,2,0,28,35,8,30,0,15,56,7,22,0,99,10,1,0,0,0,680,3
55,3303955,PINHEIRAL,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,24,2,0,7,1,0,0,1,1,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,9,10,0,0,0,0,3,2,1,0,0,4,0,3,1,30,0,0,0,0,0,95,3
56,3304003,PIRAÍ,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,8,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,3,0,1,0,0,24,28,0,0,0,1,6,3,2,1,1,5,1,0,0,22,1,0,0,0,0,92,3
